Community Profile Data by Municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Further explanation on Notes sheet,,,,,,Population Characteristics,,,,,,,,,,,,C&I Properties,General Housing Characteristics,,,,,,Units by Year Structure Built*,,,,,,,,,Units by Structure Type,,,,,,,,,Occupied Housing Units Primary Heating Fuels,,,,,,Means of Transportation to Work,,,,,,,,
Municipality,County,Muni and County,Year,Square Miles,Mun Inde,Population ,% White ,% Black ,"% Asian, Pacific Islander, and Hawaiian ",% Other,% Hispanic or Latino Origin*,Households,Median Household Income,Percent of Population in Poverty,Low and Moderate Income*,NJ DCA MRI Score*,NJ DCA MRI Rank*,Commercial & Industrial Properties  (2018 Tax Data),Total Housing Units*,Total Occupied Housing Units,% Occupied housing units ,% Owner-occupied,% Renter-occupied,<75% Occupied*,2010 or later,2000 to 2009,1990 to 1999,1980 to 1989,1970 to 1979,1960 to 1969,1950 to 1959,1940 to 1949,1939 or earlier,"1-unit, detached","1-unit, attached",2 units,3 or 4 units,5 to 9 units,10 to 19 units,20 or more,Mobile home,"Boat, RV, etc.",Utility gas,Electricity,"Bottled, tank, or LP gas","Fuel oil, kerosene, etc.",Wood,Other or no heating fuel,Total Workers,"Car, truck, or van",Public transport,Taxicab,Motorcycle,Bicycle,Walked,Other means,Worked at home
Fort Lee borough,Bergen,"Fort Lee borough, Bergen",2015,2.5,155,"36,251",53%,2%,40%,5%,13%,"16,510","$70,415",9.8%,,24,289,416,"18,103","16,510",91%,59%,41%,,59,"1,172","1,964","1,900","2,975","4,438","3,279","1,186","1,130","2,534","1,237","1,428",771,741,736,"10,646",10,0,66%,20%,1%,10%,0%,2%,"17,206",65%,22%,0%,0%,0%,5%,0%,7%
Fort Lee borough,Bergen,"Fort Lee borough, Bergen",2020,2.5,155,"37,843",49%,2%,42%,6%,12%,"17,396","$88,457",9.4%,,23,322,416,"18,768","17,396",93%,58%,42%,,"1,209","1,046","1,258","2,569","2,955","4,149","3,382","1,196","1,004","2,654","1,264","1,559",385,791,531,"11,511",50,23,64%,26%,2%,5%,0%,3%,"19,115",59%,27%,1%,0%,0%,3%,1%,9%
Frankford township,Sussex,"Frankford township, Sussex",2015,35.3,156,"5,490",98%,1%,1%,0%,6%,"2,062","$89,891",3.9%,,22,328,108,"2,495","2,062",83%,85%,15%,,4,216,175,504,465,237,360,157,377,"2,350",19,48,15,4,0,59,0,0,4%,10%,13%,62%,9%,2%,"2,547",91%,1%,0%,0%,0%,0%,1%,7%
Frankford township,Sussex,"Frankford township, Sussex",2020,35.3,156,"5,312",91%,0%,3%,6%,8%,"1,959","$92,005",6.7%,,26,269,108,"2,533","1,959",77%,86%,14%,,98,348,84,352,434,264,374,94,485,"2,335",55,17,4,11,0,17,94,0,8%,11%,15%,49%,12%,5%,"2,601",90%,1%,0%,0%,0%,1%,0%,7%
Franklin borough,Sussex,"Franklin borough, Sussex",2015,4.4,157,"4,944",94%,4%,1%,1%,9%,"1,977","$57,599",8.9%,Yes,34,149,141,"2,162","1,977",91%,68%,32%,,62,278,148,270,206,172,151,189,686,"1,186",173,78,223,42,48,179,233,0,19%,14%,17%,48%,1%,1%,"2,387",92%,4%,0%,1%,1%,0%,0%,2%
Franklin borough,Sussex,"Franklin borough, Sussex",2020,4.4,157,"4,737",91%,2%,1%,5%,11%,"2,243","$77,672",7.2%,,37,126,141,"2,532","2,243",89%,61%,39%,,43,214,146,273,348,209,154,132,"1,013","1,277",172,79,213,128,356,145,162,0,19%,7%,10%,58%,2%,3%,"2,139",94%,0%,0%,0%,0%,1%,2%,4%
Franklin Lakes borough,Bergen,"Franklin Lakes borough, Bergen",2015,9.9,158,"10,799",87%,1%,8%,3%,6%,"3,734","$156,146",3.1%,,9,548,67,"3,888","3,734",96%,87%,13%,,41,658,337,651,612,965,268,116,240,"3,484",76,66,57,19,10,176,0,0,93%,4%,0%,2%,0%,0%,"5,026",84%,5%,0%,0%,0%,2%,2%,7%
Franklin Lakes borough,Bergen,"Franklin Lakes borough, Bergen",2020,9.9,158,"11,044",82%,2%,7%,8%,10%,"3,839","$178,794",1.1%,,7,554,67,"4,024","3,839",95%,89%,11%,,153,520,289,852,729,666,500,81,234,"3,515",118,18,85,53,101,134,0,0,85%,10%,0%,4%,0%,0%,"4,876",74%,8%,0%,0%,0%,1%,0%,16%
Franklin township,Gloucester,"Franklin township, Gloucester",2015,56.4,159,"16,698",84%,8%,2%,7%,7%,"5,619","$77,739",7.8%,,34,145,291,"6,240","5,619",90%,90%,10%,,102,"1,135",580,"1,109","1,206",536,682,366,524,"5,664",118,132,85,17,26,9,189,0,48%,10%,7%,29%,5%,1%,"7,947",95%,1%,0%,0%,0%,1%,0%,3%
Franklin township,Gloucester,"Franklin township, Gloucester",2020,56.4,159,"16,415",85%,9%,1%,5%,8%,"5,834","$82,465",7.0%,,34,155,291,"6,080","5,834",96%,87%,13%,,219,764,659,"1,077","1,362",576,709,381,333,"5,599",67,128,7,0,0,0,279,0,55%,9%,5%,26%,2%,2%,"8,118",93%,0%,0%,0%,0%,1%,1%,4%
Franklin township,Hunterdon,"Franklin township, Hunterdon",2015,23.2,160,"3,235",99%,0%,1%,0%,3%,"1,196","$96,591",3.0%,,17,440,27,"1,302","1,196",92%,91%,9%,,5,133,146,221,149,104,152,72,320,"1,228",9,27,33,0,0,0,5,0,6%,3%,17%,65%,6%,4%,"1,655",88%,3%,0%,0%,0%,1%,0%,7%
Franklin township,Hunterdon,"Franklin township, Hunterdon",2020,23.2,160,"3,404",98%,0%,1%,0%,3%,"1,260","$128,214",1.9%,,15,474,27,"1,370","1,260",92%,87%,13%,,31,100,136,218,136,140,236,59,314,"1,237",12,85,10,0,0,0,26,0,4%,1%,20%,69%,4%,0%,"2,127",80%,6%,0%,0%,1%,4%,0%,9%
Franklin township,Somerset,"Franklin township, Somerset",2015,46.9,161,"64,779",45%,26%,22%,6%,13%,"23,632","$90,949",5.3%,,21,366,700,"25,397","23,632",93%,70%,31%,,734,"4,463","4,395","6,214","2,857","2,700","2,007",795,"1,232","11,687","5,962",805,"1,169","1,172","2,349","2,242",0,11,85%,11%,1%,3%,0%,0%,"32,552",86%,7%,0%,0%,0%,2%,0%,5%
Franklin township,Somerset,"Franklin township, Somerset",2020,46.9,161,"65,773",41%,28%,23%,9%,14%,"25,323","$93,567",7.4%,,24,314,700,"27,115","25,323",93%,70%,30%,,"2,161","4,385","4,292","5,934","2,718","3,496","2,647",602,880,"12,647","5,806",652,"1,323","1,464","2,333","2,879",11,0,83%,11%,2%,3%,0%,1%,"33,581",80%,7%,1%,0%,0%,1%,2%,8%
Franklin township,Warren,"Franklin township, Warren",2015,23.5,162,"3,118",96%,0%,2%,2%,3%,"1,155","$89,420",2.3%,,20,380,58,"1,203","1,155",96%,88%,12%,,0,184,196,95,108,89,61,84,386,"1,150",13,27,0,0,0,13,0,0,35%,8%,9%,42%,4%,1%,"1,561",92%,0%,0%,0%,0%,1%,2%,4%
Franklin township,Warren,"Franklin township, Warren",2020,23.5,162,"3,038",92%,1%,2%,5%,4%,"1,147","$100,254",3.0%,,23,325,58,"1,238","1,147",93%,90%,10%,,41,114,220,144,85,81,112,52,389,"1,020",31,51,37,0,0,0,99,0,38%,7%,6%,45%,3%,0%,"1,566",84%,1%,0%,0%,0%,4%,0%,12%
Fredon township,Sussex,"Fredon township, Sussex",2015,17.9,163,"3,315",96%,1%,2%,2%,1%,"1,228","$100,368",7.0%,,18,423,41,"1,293","1,228",95%,88%,12%,,16,200,152,249,309,135,62,26,144,"1,237",21,26,0,9,0,0,0,0,8%,11%,22%,50%,7%,1%,"1,636",83%,2%,0%,0%,0%,1%,3%,11%
Fredon township,Sussex,"Fredon township, Sussex",2020,17.9,163,"3,172",92%,0%,1%,7%,4%,"1,087","$135,074",6.7%,,21,362,41,"1,211","1,087",90%,92%,8%,,8,174,204,242,209,139,120,17,98,"1,180",12,0,14,5,0,0,0,0,12%,6%,22%,52%,7%,2%,"1,569",83%,1%,0%,0%,0%,1%,0%,15%
Freehold borough,Monmouth,"Freehold borough, Monmouth",2015,1.9,164,"11,978",75%,13%,3%,9%,44%,"3,896","$54,595",15.6%,Yes,42,73,279,"4,241","3,896",92%,50%,50%,,11,235,267,360,724,501,678,405,"1,060","2,186",304,194,244,269,312,732,0,0,77%,12%,1%,9%,0%,1%,"5,543",80%,8%,2%,0%,1%,6%,2%,1%
Freehold borough,Monmouth,"Freehold borough, Monmouth",2020,1.9,164,"11,755",60%,13%,2%,26%,47%,"4,193","$60,038",16.2%,Yes,47,49,279,"4,466","4,193",94%,47%,54%,,55,393,167,429,844,667,526,434,951,"2,204",280,582,183,347,50,820,0,0,75%,17%,2%,5%,0%,1%,"5,885",74%,10%,0%,0%,2%,4%,2%,8%
Freehold township,Monmouth,"Freehold township, Monmouth",2015,38.9,165,"35,936",85%,6%,7%,3%,9%,"12,525","$100,759",4.6%,,17,432,435,"13,110","12,525",96%,84%,16%,,160,"1,625","3,054","2,961","2,100","2,064",472,319,355,"8,144","1,873",58,216,"1,350",518,578,373,0,83%,9%,1%,6%,0%,0%,"17,489",87%,6%,1%,0%,0%,1%,1%,5%
Freehold township,Monmouth,"Freehold township, Monmouth",2020,38.9,165,"34,814",82%,5%,7%,6%,11%,"12,546","$115,210",3.7%,,21,366,435,"13,407","12,546",94%,80%,20%,,291,"1,452","3,091","2,767","2,496","2,080",742,139,349,"8,537","1,616",273,394,"1,151",497,624,315,0,86%,9%,1%,4%,0%,1%,"17,095",84%,6%,0%,0%,0%,0%,1%,8%
Frelinghuysen township,Warren,"Frelinghuysen township, Warren",2015,23.9,166,"2,479",93%,3%,1%,4%,6%,813,"$100,625",3.5%,,20,383,23,850,813,96%,90%,10%,,3,52,173,160,108,62,66,12,214,840,0,5,0,0,0,0,5,0,1%,7%,9%,69%,11%,3%,"1,193",91%,0%,0%,0%,0%,2%,1%,6%
Frelinghuysen township,Warren,"Frelinghuysen township, Warren",2020,23.9,166,"2,085",98%,0%,1%,2%,6%,708,"$106,447",6.8%,,22,356,23,776,708,91%,88%,12%,,11,60,203,144,61,44,49,10,194,733,0,40,0,0,0,0,3,0,1%,6%,16%,60%,9%,8%,888,84%,1%,0%,0%,0%,1%,0%,14%
Frenchtown borough,Hunterdon,"Frenchtown borough, Hunterdon",2015,1.2,167,"1,444",93%,1%,3%,4%,5%,649,"$77,396",7.4%,,23,301,68,681,649,95%,62%,38%,,0,18,15,14,49,26,103,65,391,409,30,89,83,49,18,3,0,0,22%,17%,3%,56%,1%,1%,865,82%,1%,0%,0%,0%,9%,0%,7%
Frenchtown borough,Hunterdon,"Frenchtown borough, Hunterdon",2020,1.2,167,"1,366",93%,0%,3%,4%,3%,591,"$79,583",6.9%,,33,176,68,614,591,96%,54%,47%,,8,31,20,0,60,48,48,47,352,310,51,93,72,31,45,3,9,0,32%,30%,6%,28%,1%,2%,713,74%,6%,0%,0%,1%,7%,1%,12%
Galloway township,Atlantic,"Galloway township, Atlantic",2015,111.3,168,"37,431",70%,11%,11%,7%,13%,"12,412","$61,530",8.2%,,35,127,474,"13,684","12,412",91%,74%,26%,,235,"2,349","2,691","3,493","1,662","1,061",911,465,817,"9,016",766,167,566,"1,721",547,799,102,0,77%,11%,2%,7%,2%,1%,"17,312",91%,3%,0%,0%,0%,3%,2%,1%
Galloway township,Atlantic,"Galloway township, Atlantic",2020,111.3,168,"35,816",73%,10%,7%,10%,11%,"12,713","$76,888",6.4%,,33,169,474,"14,263","12,713",89%,78%,22%,,191,"3,022","2,490","4,588","1,585",915,519,266,687,"9,128","1,489",154,692,"1,372",647,721,60,0,80%,12%,3%,3%,1%,1%,"17,815",91%,2%,0%,0%,0%,2%,1%,4%
Garfield city,Bergen,"Garfield city, Bergen",2015,2.2,169,"31,265",83%,6%,3%,8%,34%,"10,875","$45,469",16.3%,Yes,45,53,513,"11,691","10,875",93%,37%,63%,,88,232,196,489,645,"2,845","3,181","1,684","2,331","2,361",428,"6,020","1,473",491,264,588,52,14,87%,7%,1%,5%,0%,1%,"13,765",82%,9%,0%,0%,1%,3%,4%,1%
Garfield city,Bergen,"Garfield city, Bergen",2020,2.2,169,"31,722",80%,6%,3%,12%,41%,"11,629","$64,242",14.5%,Yes,45,62,513,"12,336","11,629",94%,45%,55%,,237,281,180,600,865,"1,661","2,657","1,845","4,010","2,385",725,"6,224","1,299",713,364,590,36,0,85%,8%,2%,5%,0%,0%,"15,825",80%,9%,0%,0%,0%,4%,4%,3%
Garwood borough,Union,"Garwood borough, Union",2015,0.6,170,"4,306",93%,0%,0%,6%,17%,"1,633","$73,924",2.3%,,23,307,128,"1,776","1,633",92%,62%,38%,,0,82,41,73,95,157,432,423,473,952,67,490,92,103,18,54,0,0,75%,4%,2%,19%,0%,0%,"2,235",79%,10%,0%,0%,0%,4%,0%,6%
Garwood borough,Union,"Garwood borough, Union",2020,0.6,170,"4,341",83%,1%,4%,12%,15%,"1,782","$90,732",5.8%,,23,324,128,"1,820","1,782",98%,57%,43%,,0,101,20,64,171,151,513,300,500,878,89,464,142,103,22,122,0,0,83%,10%,1%,5%,0%,1%,"2,292",79%,10%,0%,0%,1%,4%,0%,5%
Gibbsboro borough,Camden,"Gibbsboro borough, Camden",2015,2.2,171,"2,236",95%,2%,0%,2%,2%,779,"$82,944",4.6%,,26,247,98,802,779,97%,93%,7%,,5,18,82,48,97,169,222,63,98,784,14,4,0,0,0,0,0,0,84%,5%,1%,10%,1%,1%,"1,102",91%,3%,0%,0%,0%,1%,1%,2%
Gibbsboro borough,Camden,"Gibbsboro borough, Camden",2020,2.2,171,"2,238",83%,1%,7%,9%,11%,761,"$82,865",6.2%,,25,286,98,811,761,94%,95%,5%,,0,22,70,42,102,172,258,75,70,800,5,3,0,3,0,0,0,0,90%,3%,0%,6%,1%,0%,943,86%,8%,0%,0%,0%,0%,1%,5%
Glassboro borough,Gloucester,"Glassboro borough, Gloucester",2015,9.4,172,"18,958",74%,15%,3%,8%,9%,"6,077","$64,246",19.5%,,40,92,257,"6,778","6,077",90%,68%,32%,,68,428,"1,241","1,159","1,072",730,"1,120",252,708,"4,122",689,364,294,324,316,635,34,0,83%,8%,1%,6%,0%,1%,"8,705",86%,3%,0%,0%,1%,6%,0%,4%
Glassboro borough,Gloucester,"Glassboro borough, Gloucester",2020,9.4,172,"20,069",67%,18%,4%,10%,10%,"6,295","$72,103",22.5%,,44,67,257,"7,005","6,295",90%,64%,36%,,883,361,"1,664",875,804,704,784,319,611,"4,028",854,363,316,199,676,558,11,0,83%,12%,2%,2%,0%,1%,"9,305",84%,2%,0%,0%,0%,6%,2%,6%
Glen Gardner borough,Hunterdon,"Glen Gardner borough, Hunterdon",2015,1.5,173,"1,560",92%,3%,2%,3%,6%,754,"$61,917",7.0%,,29,208,16,832,754,91%,67%,33%,,3,4,90,432,53,20,26,18,186,329,55,25,82,52,229,57,0,3,62%,15%,4%,18%,1%,1%,846,93%,3%,0%,0%,0%,0%,0%,4%
Glen Gardner borough,Hunterdon,"Glen Gardner borough, Hunterdon",2020,1.5,173,"1,554",83%,1%,0%,16%,21%,731,"$74,083",4.9%,,27,258,16,806,731,91%,67%,34%,,0,9,114,400,33,106,39,6,99,385,58,36,58,50,178,35,6,0,62%,18%,1%,16%,2%,1%,876,88%,3%,0%,0%,0%,0%,0%,9%
Glen Ridge borough,Essex,"Glen Ridge borough, Essex",2015,1.3,174,"7,607",85%,7%,4%,4%,11%,"2,463","$170,433",1.1%,,7,557,20,"2,505","2,463",98%,89%,11%,,0,48,106,132,93,138,208,88,"1,692","2,054",38,20,115,0,19,259,0,0,79%,4%,2%,15%,0%,0%,"3,541",57%,32%,0%,0%,0%,2%,0%,9%
Glen Ridge borough,Essex,"Glen Ridge borough, Essex",2020,1.3,174,"7,583",79%,3%,6%,12%,9%,"2,396","$211,091",5.2%,,7,555,20,"2,443","2,396",98%,93%,7%,,0,50,48,58,97,107,139,158,"1,786","2,051",39,92,61,0,11,189,0,0,78%,5%,1%,15%,0%,1%,"3,831",51%,33%,0%,0%,0%,1%,0%,15%
Glen Rock borough,Bergen,"Glen Rock borough, Bergen",2015,2.7,175,"11,859",87%,1%,10%,2%,6%,"3,862","$155,221",2.0%,,8,549,110,"3,982","3,862",97%,93%,7%,,15,151,39,156,102,374,"1,358",466,"1,321","3,755",70,77,0,0,0,80,0,0,88%,5%,2%,5%,0%,1%,"5,675",77%,16%,0%,0%,0%,2%,0%,5%
Glen Rock borough,Bergen,"Glen Rock borough, Bergen",2020,2.7,175,"11,747",82%,2%,12%,4%,5%,"3,593","$178,607",2.7%,,8,549,110,"3,711","3,593",97%,93%,7%,,122,192,112,176,129,211,"1,322",350,"1,097","3,376",100,107,33,0,0,95,0,0,91%,6%,2%,2%,0%,0%,"5,364",59%,23%,0%,0%,0%,2%,0%,16%
Gloucester City city,Camden,"Gloucester City city, Camden",2015,2.8,176,"11,386",81%,3%,7%,9%,11%,"4,025","$50,615",9.6%,Yes,45,51,273,"4,515","4,025",89%,67%,34%,,0,119,80,421,195,365,778,622,"1,935","1,907","1,625",293,111,83,114,137,245,0,70%,6%,4%,19%,0%,0%,"4,977",88%,7%,0%,0%,0%,4%,0%,1%
Gloucester City city,Camden,"Gloucester City city, Camden",2020,2.8,176,"11,229",81%,5%,5%,10%,13%,"4,349","$59,984",14.1%,Yes,47,50,273,"4,663","4,349",93%,62%,38%,,7,179,108,442,292,399,506,345,"2,385","2,218","1,261",295,146,47,118,459,119,0,71%,17%,2%,9%,0%,0%,"5,143",89%,2%,0%,0%,1%,4%,1%,3%
Gloucester township,Camden,"Gloucester township, Camden",2015,23.3,177,"64,219",75%,17%,4%,5%,5%,"23,354","$71,963",8.7%,,30,195,618,"25,079","23,354",93%,74%,26%,,138,"1,929","4,077","4,167","6,696","3,650","2,483",767,"1,172","15,738","3,473",834,770,"1,057","1,517","1,267",423,0,84%,10%,1%,5%,0%,0%,"32,712",90%,5%,0%,0%,0%,1%,1%,3%
Gloucester township,Camden,"Gloucester township, Camden",2020,23.3,177,"63,777",73%,18%,4%,6%,8%,"23,419","$83,562",6.3%,,30,202,618,"24,896","23,419",94%,72%,28%,,906,"2,028","4,028","3,757","6,969","3,513","2,226",645,824,"15,089","3,804",645,557,"1,265","1,533","1,722",281,0,80%,13%,1%,5%,0%,1%,"32,501",86%,4%,0%,0%,0%,1%,1%,9%
Green Brook township,Somerset,"Green Brook township, Somerset",2015,4.4,178,"7,155",69%,3%,27%,1%,8%,"2,288","$130,053",5.9%,,18,414,184,"2,458","2,288",93%,93%,7%,,48,518,691,151,205,255,451,57,82,"1,991",206,0,95,14,133,19,0,0,92%,3%,1%,4%,0%,0%,"3,697",84%,8%,0%,0%,0%,1%,1%,6%
Green Brook township,Somerset,"Green Brook township, Somerset",2020,4.4,178,"6,927",67%,4%,23%,6%,13%,"2,209","$168,098",6.7%,,16,454,184,"2,332","2,209",95%,93%,7%,,0,339,636,188,199,238,503,112,117,"1,661",171,0,29,279,99,86,7,0,92%,3%,0%,5%,0%,1%,"3,828",88%,4%,0%,0%,0%,0%,1%,7%
Green township,Sussex,"Green township, Sussex",2015,16.3,179,"3,539",97%,0%,0%,3%,7%,"1,138","$119,286",2.0%,,14,490,26,"1,218","1,138",93%,96%,4%,,10,177,146,184,352,133,86,0,130,"1,187",9,13,0,0,0,9,0,0,2%,18%,18%,57%,3%,3%,"1,705",83%,3%,0%,0%,0%,1%,0%,13%
Green township,Sussex,"Green township, Sussex",2020,16.3,179,"3,482",93%,4%,0%,3%,15%,"1,194","$147,722",5.5%,,19,413,26,"1,297","1,194",92%,94%,6%,,0,198,274,316,209,115,68,12,105,"1,279",0,18,0,0,0,0,0,0,5%,12%,28%,46%,2%,7%,"1,771",95%,1%,0%,0%,0%,1%,0%,3%
Greenwich township,Cumberland,"Greenwich township, Cumberland",2015,18.5,180,960,82%,4%,4%,9%,3%,368,"$66,667",7.5%,,32,170,7,400,368,92%,82%,18%,,0,51,50,16,46,13,51,7,166,378,2,14,0,0,0,0,6,0,5%,4%,13%,71%,6%,1%,445,96%,2%,0%,1%,0%,0%,0%,2%
Greenwich township,Cumberland,"Greenwich township, Cumberland",2020,18.5,180,457,95%,0%,0%,5%,1%,200,"$79,750",3.5%,,30,205,7,272,200,74%,81%,19%,Yes,6,13,6,11,24,15,37,27,133,257,2,5,6,2,0,0,0,0,4%,4%,15%,63%,10%,4%,201,97%,1%,0%,0%,0%,1%,0%,0%
Greenwich township,Gloucester,"Greenwich township, Gloucester",2015,11.7,181,"4,869",94%,3%,1%,2%,2%,"2,048","$64,652",7.8%,,32,169,81,"2,192","2,048",93%,83%,17%,,0,179,45,174,337,386,527,67,477,"1,877",111,109,57,0,11,27,0,0,61%,10%,1%,27%,0%,0%,"2,268",97%,1%,0%,0%,0%,1%,0%,1%
Greenwich township,Gloucester,"Greenwich township, Gloucester",2020,11.7,181,"4,816",89%,4%,2%,5%,4%,"1,895","$76,648",9.1%,,35,147,81,"2,046","1,895",93%,84%,16%,,10,212,21,138,342,254,511,186,372,"1,760",39,114,19,18,0,96,0,0,54%,7%,1%,34%,0%,4%,"2,275",92%,2%,0%,0%,0%,2%,0%,4%
Greenwich township,Warren,"Greenwich township, Warren",2015,10.6,182,"5,580",86%,6%,6%,2%,4%,"1,758","$111,094",3.2%,,16,449,62,"1,877","1,758",94%,89%,11%,,0,378,820,44,200,44,88,30,273,"1,678",44,120,21,7,0,7,0,0,70%,8%,1%,18%,3%,0%,"2,520",83%,2%,0%,0%,0%,2%,0%,12%
Greenwich township,Warren,"Greenwich township, Warren",2020,10.6,182,"5,473",82%,7%,7%,4%,5%,"1,840","$137,152",2.0%,,19,406,62,"1,872","1,840",98%,89%,12%,,0,290,913,59,242,119,52,25,172,"1,687",87,24,41,0,0,0,33,0,65%,5%,1%,22%,2%,4%,"2,977",87%,1%,0%,0%,0%,0%,0%,12%
Guttenberg town,Hudson,"Guttenberg town, Hudson",2015,0.2,183,"11,595",57%,7%,9%,27%,68%,"4,386","$56,837",15.4%,Yes,42,70,209,"4,801","4,386",91%,31%,69%,,115,689,391,465,999,621,289,174,"1,058",304,253,947,854,403,576,"1,464",0,0,72%,21%,1%,5%,0%,1%,"5,847",39%,47%,0%,0%,0%,10%,1%,3%
Guttenberg town,Hudson,"Guttenberg town, Hudson",2020,0.2,183,"11,284",59%,4%,7%,29%,68%,"4,634","$63,189",13.5%,Yes,42,84,209,"4,980","4,634",93%,39%,61%,,485,442,386,289,"1,333",520,378,356,791,190,225,944,759,495,718,"1,635",14,0,63%,32%,2%,2%,0%,1%,"6,291",47%,37%,1%,0%,0%,8%,1%,7%
Hackensack city,Bergen,"Hackensack city, Bergen",2015,4.3,184,"44,035",42%,22%,11%,25%,36%,"18,169","$55,289",15.8%,Yes,38,109,"1,378","19,620","18,169",93%,36%,64%,,68,830,"1,191","2,522","3,062","2,760","3,768","1,592","3,827","3,664",599,"2,769","1,384","1,270","1,700","8,126",57,51,66%,26%,1%,6%,0%,1%,"22,739",71%,17%,0%,0%,1%,7%,1%,3%
Hackensack city,Bergen,"Hackensack city, Bergen",2020,4.3,184,"44,266",50%,24%,12%,14%,36%,"19,537","$71,079",12.3%,,38,122,"1,378","20,836","19,537",94%,34%,66%,,942,633,"1,217","2,873","3,435","3,897","2,792","1,220","3,827","3,912",506,"2,495","1,342","1,197","1,898","9,416",70,0,61%,33%,1%,3%,0%,2%,"24,149",69%,20%,0%,0%,0%,5%,2%,4%
Hackettstown town,Warren,"Hackettstown town, Warren",2015,3.7,185,"9,579",83%,4%,4%,9%,20%,"3,473","$64,464",10.9%,,33,161,295,"3,636","3,473",96%,54%,46%,,102,320,249,315,464,852,320,150,864,"2,027",189,191,167,307,364,364,27,0,62%,12%,2%,23%,0%,1%,"4,838",86%,1%,1%,0%,1%,8%,1%,3%
Hackettstown town,Warren,"Hackettstown town, Warren",2020,3.7,185,"9,440",83%,3%,6%,8%,21%,"3,463","$79,798",11.5%,,35,152,295,"3,591","3,463",96%,59%,41%,,121,421,253,242,450,862,281,168,793,"2,049",354,192,209,255,197,301,34,0,62%,14%,1%,22%,0%,2%,"4,925",89%,1%,0%,0%,0%,3%,2%,5%
Haddon Heights borough,Camden,"Haddon Heights borough, Camden",2015,1.6,186,"7,497",93%,3%,1%,3%,3%,"2,870","$88,162",3.5%,,20,373,177,"3,054","2,870",94%,81%,19%,,9,141,19,84,185,218,734,557,"1,107","2,272",99,267,71,38,82,225,0,0,81%,6%,1%,12%,0%,1%,"3,795",85%,7%,0%,0%,0%,1%,1%,6%
Haddon Heights borough,Camden,"Haddon Heights borough, Camden",2020,1.6,186,"7,520",95%,2%,1%,1%,2%,"3,144","$97,955",4.9%,,20,380,177,"3,355","3,144",94%,78%,22%,,30,122,6,81,139,219,959,332,"1,467","2,646",110,186,74,28,31,280,0,0,81%,9%,1%,8%,0%,1%,"3,964",77%,8%,0%,0%,1%,1%,1%,13%
Haddon township,Camden,"Haddon township, Camden",2015,2.8,187,"14,592",93%,3%,3%,2%,2%,"5,781","$82,621",4.5%,,21,350,281,"6,302","5,781",92%,70%,30%,,0,35,134,312,466,943,"1,564",971,"1,877","4,079",232,355,367,125,147,972,25,0,77%,8%,1%,11%,0%,3%,"7,500",80%,13%,0%,0%,0%,2%,0%,5%
Haddon township,Camden,"Haddon township, Camden",2020,2.8,187,"14,562",92%,3%,1%,4%,5%,"6,238","$95,296",5.3%,,21,374,281,"6,726","6,238",93%,67%,33%,,134,90,143,233,515,"1,075","1,535","1,026","1,975","4,304",278,284,189,185,119,"1,367",0,0,75%,14%,0%,9%,0%,1%,"7,505",81%,10%,0%,0%,0%,1%,1%,7%
Haddonfield borough,Camden,"Haddonfield borough, Camden",2015,2.8,188,"11,474",95%,1%,2%,2%,3%,"4,271","$128,440",2.8%,,12,519,287,"4,419","4,271",97%,85%,15%,,26,163,111,103,241,257,865,330,"2,323","3,397",353,223,134,38,48,226,0,0,81%,8%,0%,10%,0%,0%,"5,275",80%,9%,0%,0%,0%,2%,1%,8%
Haddonfield borough,Camden,"Haddonfield borough, Camden",2020,2.8,188,"11,342",94%,1%,1%,3%,4%,"4,014","$151,579",2.2%,,10,538,287,"4,260","4,014",94%,84%,17%,,231,122,103,93,238,309,607,311,"2,246","3,372",296,133,115,26,48,261,9,0,84%,9%,1%,5%,0%,0%,"5,561",74%,11%,0%,0%,0%,1%,1%,13%
Hainesport township,Burlington,"Hainesport township, Burlington",2015,6.8,189,"6,097",81%,10%,5%,3%,5%,"2,306","$90,331",5.4%,,18,410,142,"2,399","2,306",96%,96%,4%,,13,757,406,123,112,101,616,106,165,"2,173",149,9,0,24,0,14,30,0,61%,5%,1%,31%,3%,0%,"3,212",93%,3%,0%,0%,1%,1%,1%,1%
Hainesport township,Burlington,"Hainesport township, Burlington",2020,6.8,189,"6,009",88%,6%,2%,5%,4%,"2,406","$109,013",5.2%,,20,381,142,"2,493","2,406",97%,93%,7%,,19,856,412,44,234,305,347,85,191,"2,259",111,0,40,34,15,0,34,0,71%,4%,4%,17%,1%,2%,"3,325",86%,4%,0%,0%,0%,4%,0%,7%
Haledon borough,Passaic,"Haledon borough, Passaic",2015,1.2,190,"8,412",73%,9%,6%,12%,42%,"2,586","$64,024",12.9%,,46,50,169,"2,718","2,586",95%,52%,48%,,20,98,118,222,96,233,643,691,597,"1,051",123,997,288,45,22,192,0,0,81%,9%,2%,9%,0%,1%,"3,689",92%,3%,0%,0%,0%,2%,1%,1%
