Community Profile Data by Municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Further explanation on Notes sheet,,,,,,Population Characteristics,,,,,,,,,,,,C&I Properties,General Housing Characteristics,,,,,,Units by Year Structure Built*,,,,,,,,,Units by Structure Type,,,,,,,,,Occupied Housing Units Primary Heating Fuels,,,,,,Means of Transportation to Work,,,,,,,,
Municipality,County,Muni and County,Year,Square Miles,Mun Inde,Population ,% White ,% Black ,"% Asian, Pacific Islander, and Hawaiian ",% Other,% Hispanic or Latino Origin*,Households,Median Household Income,Percent of Population in Poverty,Low and Moderate Income*,NJ DCA MRI Score*,NJ DCA MRI Rank*,Commercial & Industrial Properties  (2018 Tax Data),Total Housing Units*,Total Occupied Housing Units,% Occupied housing units ,% Owner-occupied,% Renter-occupied,<75% Occupied*,2010 or later,2000 to 2009,1990 to 1999,1980 to 1989,1970 to 1979,1960 to 1969,1950 to 1959,1940 to 1949,1939 or earlier,"1-unit, detached","1-unit, attached",2 units,3 or 4 units,5 to 9 units,10 to 19 units,20 or more,Mobile home,"Boat, RV, etc.",Utility gas,Electricity,"Bottled, tank, or LP gas","Fuel oil, kerosene, etc.",Wood,Other or no heating fuel,Total Workers,"Car, truck, or van",Public transport,Taxicab,Motorcycle,Bicycle,Walked,Other means,Worked at home
Allentown borough,Monmouth,"Allentown borough, Monmouth",2020,0.6,7,"1,740",89%,7%,0%,4%,4%,676,"$100,769",2.8%,,17,440,39,697,676,97%,77%,23%,,0,5,50,20,170,63,130,42,217,547,46,25,8,27,44,0,0,0,80%,12%,0%,7%,0%,1%,959,88%,1%,0%,0%,0%,3%,0%,8%
Alloway township,Salem,"Alloway township, Salem",2015,33.9,8,"3,417",94%,3%,0%,3%,2%,"1,213","$73,586",5.4%,,25,260,34,"1,347","1,213",90%,87%,13%,,6,176,161,83,217,174,161,24,345,"1,261",21,48,0,0,0,0,17,0,6%,9%,16%,61%,8%,1%,"1,616",94%,0%,0%,0%,0%,1%,0%,4%
Alloway township,Salem,"Alloway township, Salem",2020,33.9,8,"3,359",90%,5%,1%,4%,3%,"1,203","$86,583",3.1%,,28,249,34,"1,298","1,203",93%,89%,11%,,57,130,244,186,81,169,128,0,303,"1,241",0,11,38,0,0,0,8,0,0%,13%,14%,51%,13%,9%,"1,623",97%,0%,0%,0%,0%,0%,1%,2%
Alpha borough,Warren,"Alpha borough, Warren",2015,1.7,9,"2,272",94%,4%,0%,1%,5%,950,"$58,804",9.6%,,33,158,70,"1,025",950,93%,70%,30%,,0,20,51,25,106,142,224,48,409,639,145,62,97,43,20,19,0,0,54%,6%,4%,34%,2%,1%,"1,102",94%,0%,0%,0%,1%,2%,0%,3%
Alpha borough,Warren,"Alpha borough, Warren",2020,1.7,9,"2,141",91%,0%,1%,7%,8%,948,"$75,612",4.8%,,33,173,70,"1,053",948,90%,66%,34%,,0,45,52,105,129,200,135,65,322,708,145,47,49,13,29,56,0,6,58%,11%,1%,30%,0%,1%,"1,230",92%,0%,0%,0%,0%,3%,1%,4%
Alpine borough,Bergen,"Alpine borough, Bergen",2015,6.4,10,"1,559",62%,7%,28%,2%,6%,575,"$111,146",10.8%,,17,425,18,672,575,86%,87%,13%,,0,82,99,113,104,83,57,59,75,652,0,4,9,7,0,0,0,0,94%,3%,1%,1%,0%,0%,636,78%,7%,0%,0%,1%,0%,2%,11%
Alpine borough,Bergen,"Alpine borough, Bergen",2020,6.4,10,"1,459",61%,3%,32%,3%,7%,518,"$161,346",6.2%,,15,466,18,572,518,91%,88%,12%,,21,62,78,170,48,84,46,20,43,556,5,1,0,10,0,0,0,0,90%,7%,1%,2%,0%,0%,576,84%,7%,1%,0%,0%,1%,0%,8%
Andover borough,Sussex,"Andover borough, Sussex",2015,1.4,11,662,94%,2%,0%,4%,10%,273,"$76,875",4.4%,,25,268,58,301,273,91%,77%,23%,,0,9,10,9,40,31,41,6,155,227,10,28,15,21,0,0,0,0,2%,8%,5%,83%,1%,0%,387,94%,1%,0%,0%,0%,1%,0%,5%
Andover borough,Sussex,"Andover borough, Sussex",2020,1.4,11,675,90%,2%,2%,6%,1%,261,"$64,844",3.6%,Yes,27,253,58,287,261,91%,59%,41%,,5,6,10,2,49,61,29,8,117,197,8,50,10,22,0,0,0,0,0%,15%,13%,61%,11%,0%,387,79%,3%,0%,0%,0%,3%,0%,15%
Andover township,Sussex,"Andover township, Sussex",2015,20.8,12,"6,127",92%,4%,2%,2%,6%,"1,971","$103,598",3.9%,,20,375,144,"2,158","1,971",91%,84%,16%,,0,267,245,433,486,187,243,81,216,"1,728",165,56,36,150,0,0,23,0,7%,26%,16%,47%,3%,2%,"2,793",89%,3%,0%,0%,0%,1%,2%,5%
Andover township,Sussex,"Andover township, Sussex",2020,20.8,12,"5,914",91%,2%,5%,2%,1%,"2,076","$113,947",4.9%,,25,298,144,"2,198","2,076",94%,91%,9%,,7,287,229,469,339,242,350,105,170,"1,857",89,17,40,195,0,0,0,0,13%,17%,12%,48%,6%,4%,"2,944",88%,1%,0%,0%,0%,1%,0%,10%
Asbury Park city,Monmouth,"Asbury Park city, Monmouth",2015,1.5,13,"15,945",39%,47%,0%,14%,32%,"6,793","$32,755",31.9%,Yes,61,20,378,"8,288","6,793",82%,20%,80%,,64,676,107,566,979,"1,563","1,009",761,"2,563","1,879",138,"1,067",984,609,947,"2,664",0,0,69%,23%,1%,5%,0%,1%,"7,204",69%,11%,5%,0%,2%,9%,1%,3%
Asbury Park city,Monmouth,"Asbury Park city, Monmouth",2020,1.5,13,"15,536",42%,42%,2%,13%,17%,"7,185","$53,655",22.5%,Yes,59,23,378,"8,463","7,185",85%,27%,73%,,369,498,359,803,656,"1,505",869,415,"2,989","2,096",300,612,"1,082",683,817,"2,821",52,0,60%,32%,2%,2%,0%,4%,"8,748",71%,6%,5%,0%,2%,5%,1%,10%
