Municipality,County,Municipality,Year,Utility,Residential Electricity,Commercial Electricity,Industrial Electricity,Street Lighting Electricity,Total Electricity (kWh),Utility,Residential Natural Gas,Commercial Natural Gas,Industrial Natural Gas,Street Lighting Natural Gas,Total Natural Gas (Therms),Mun_inde
Bernardsville borough,Somerset,"Bernardsville borough, Somerset County",2016,JCPL,NULL,NULL,NULL,NULL,NULL,PSEG,3415088,953256,15117,NULL,4383461,39
Bernardsville borough,Somerset,"Bernardsville borough, Somerset County",2017,JCPL,NULL,NULL,NULL,NULL,NULL,PSEG,3572604,1026719,74770,NULL,4674093,39
Bernardsville borough,Somerset,"Bernardsville borough, Somerset County",2018,JCPL,45627415,26360936,15318879,210552,87517782,PSEG,4160902,1200764,131953,NULL,5493619,39
Bernardsville borough,Somerset,"Bernardsville borough, Somerset County",2019,JCPL,44305167,26399675,15406962,210552,86322356,PSEG,3974094,1143868,225332,NULL,5343294,39
Bernardsville borough,Somerset,"Bernardsville borough, Somerset County",2020,JCPL,45494525,24045248,13688470,210552,83438795,PSEG,3746546,946382,306393,NULL,4999321,39
Bernardsville borough,Somerset,"Bernardsville borough, Somerset County",2021,JCPL,47713081,21048205,14562416,210552,83534254,PSEG,3913042,1025997,330399,NULL,5269438,39
Bethlehem township,Hunterdon,"Bethlehem township, Hunterdon County",2015,JCPL,18432706,3198789,8518979,13824,30164298,ETG,49272,NULL,NULL,NULL,49272,40
Bethlehem township,Hunterdon,"Bethlehem township, Hunterdon County",2016,JCPL,NULL,NULL,NULL,NULL,NULL,ETG,50888,NULL,NULL,NULL,50888,40
Bethlehem township,Hunterdon,"Bethlehem township, Hunterdon County",2017,JCPL,NULL,NULL,NULL,NULL,NULL,ETG,54440,NULL,NULL,NULL,54440,40
Bethlehem township,Hunterdon,"Bethlehem township, Hunterdon County",2018,JCPL,18050552,2775576,9061099,13824,29901051,ETG,59510,NULL,NULL,NULL,59510,40
Bethlehem township,Hunterdon,"Bethlehem township, Hunterdon County",2019,JCPL,17703915,2695048,6733002,13824,27145789,ETG,57423,NULL,NULL,NULL,57423,40
Bethlehem township,Hunterdon,"Bethlehem township, Hunterdon County",2020,JCPL,18310856,2658285,5564694,13824,26547659,ETG,88958,NULL,NULL,NULL,88958,40
Bethlehem township,Hunterdon,"Bethlehem township, Hunterdon County",2021,JCPL,18929463,2476405,7520624,13824,28940316,ETG,111974,NULL,NULL,NULL,111974,40
Beverly city,Burlington,"Beverly city, Burlington County",2015,PSEG,7558424,2146767,11210,222549,9938950,PSEG,759269,113766,3605,NULL,876640,41
Beverly city,Burlington,"Beverly city, Burlington County",2016,PSEG,7488452,2125964,18617,221290,9854323,PSEG,660412,97833,3930,NULL,762175,41
Beverly city,Burlington,"Beverly city, Burlington County",2017,PSEG,7138858,2162654,33847,200520,9535879,PSEG,663164,105167,3872,NULL,772204,41
Beverly city,Burlington,"Beverly city, Burlington County",2018,PSEG,7675040,2088557,35748,245945,10045290,PSEG,774465,115176,7457,NULL,897098,41
Beverly city,Burlington,"Beverly city, Burlington County",2019,PSEG,7690253,2010523,16117,226923,9943816,PSEG,744539,103751,6806,NULL,855096,41
Beverly city,Burlington,"Beverly city, Burlington County",2020,PSEG,8003742,1803950,35247,226507,10069446,PSEG,687125,89950,6727,NULL,783802,41
Beverly city,Burlington,"Beverly city, Burlington County",2021,PSEG,8356868,1987440,44045,227783,10616136,PSEG,762289,96546,6773,NULL,865608,41
Blairstown township,Warren,"Blairstown township, Warren County",2015,JCPL,28769588,15537186,829965,51408,45188147,ETG,NULL,NULL,NULL,NULL,0,42
Blairstown township,Warren,"Blairstown township, Warren County",2016,JCPL,NULL,NULL,NULL,NULL,NULL,ETG,NULL,NULL,NULL,NULL,0,42
Blairstown township,Warren,"Blairstown township, Warren County",2017,JCPL,NULL,NULL,NULL,NULL,NULL,ETG,NULL,NULL,NULL,NULL,0,42
Blairstown township,Warren,"Blairstown township, Warren County",2018,JCPL,28240464,16112623,932423,52416,45337926,ETG,NULL,NULL,NULL,NULL,0,42
Blairstown township,Warren,"Blairstown township, Warren County",2019,JCPL,27712336,15877007,1105084,52416,44746843,ETG,NULL,NULL,NULL,NULL,0,42
Blairstown township,Warren,"Blairstown township, Warren County",2020,JCPL,28403307,13775966,1140216,52416,43371905,ETG,NULL,NULL,NULL,NULL,0,42
Blairstown township,Warren,"Blairstown township, Warren County",2021,JCPL,29343790,14092204,901588,52416,44389998,ETG,NULL,NULL,NULL,NULL,0,42
Bloomfield township,Essex,"Bloomfield township, Essex County",2015,PSEG,116532042,98575385,5993972,4012733,225114132,PSEG,13693302,6958669,267475,NULL,20919446,43
Bloomfield township,Essex,"Bloomfield township, Essex County",2016,PSEG,118775979,98831601,7462780,4010463,229080823,PSEG,12322134,6302969,231681,2763,18859547,43
